studentID,Current_CGPA,Total_Backlogs,Semester_Score,CGPA_Trend,Grade_Trend,Backlog_Trend
E0149,8.4,0,76.6875,-0.04,-0.23,0
E0150,7.97,0,79.0625,-0.01,-1.05,-1
E0151,9.41,0,89.375,0.14,0.89,0
E0152,8.4,0,76.5625,-0.01,0.65,0
E0153,7.72,0,75.875,-0.03,-0.25,0
E0154,5.39,0,53.25,-0.08,-0.84,0
E0155,8.77,0,90.875,0.15,2.91,0
E0156,7.88,0,78.1875,-0.01,0.13,0
E0157,6.82,1,73.375,0.03,1.36,0
E0158,9.3,0,82.6875,0.11,1.15,0
E0159,8.31,0,76.0,-0.01,0.82,0
E0160,9.35,0,87.8125,0.11,1.1,0
E0161,6.53,0,71.5625,-0.03,-0.73,0
E0162,7.73,0,81.75,0.04,1.42,0
E0163,7.61,0,74.25,0.05,0.55,0
E0164,8.0,0,78.5625,0.03,-0.45,0
E0165,8.96,0,78.5,-0.04,-0.41,0
E0166,7.56,0,76.0625,0.08,0.39,-1
E0167,7.99,0,78.0,-0.0,-0.39,-1
E0168,8.61,0,87.0,0.03,1.33,-1
E0169,8.14,0,80.5,-0.04,-0.26,0
E0170,7.52,0,77.4375,0.04,-0.41,0
E0171,7.41,0,77.8125,0.05,1.58,-1
E0172,5.77,1,56.0,-0.2,-1.82,-1
E0173,8.02,0,74.0,0.03,0.52,0
E0174,8.94,0,87.5,0.03,-0.26,0
E0175,5.39,3,55.5625,-0.04,0.08,2
E0176,8.98,0,82.4375,0.03,1.38,0
E0177,7.55,1,63.4375,0.04,0.46,0
E0178,8.59,0,76.375,0.01,-0.07,0
E0179,8.04,0,78.625,0.09,1.74,0
E0180,5.73,1,52.125,-0.17,-1.66,-1
E0181,8.05,0,74.375,0.0,-0.55,-1
E0182,8.66,0,76.25,-0.03,0.04,-1
E0183,9.15,0,85.5625,0.14,2.57,0
E0184,8.25,0,74.625,0.08,0.71,0
E0185,7.51,0,76.125,-0.01,-0.79,-1
E0186,9.06,0,90.6875,0.1,0.73,0
E0187,8.05,0,80.0,0.07,1.32,0
E0188,5.42,2,50.1875,-0.06,0.12,0
E0189,7.87,0,82.25,0.03,0.04,0
E0190,5.31,2,50.0,-0.14,-1.85,0
E0191,8.08,0,79.9375,-0.04,-0.36,0
E0192,4.35,1,48.9375,0.02,-0.85,-1
E0193,8.89,0,81.625,0.14,1.75,0
E0194,9.1,0,82.5625,0.09,1.91,0
E0195,5.55,2,52.5,-0.12,-0.26,0
E0196,8.09,0,80.1875,0.0,0.14,0
E0197,8.24,0,78.125,0.06,1.01,0
E0198,6.26,1,49.875,0.02,-0.08,2
E0199,7.39,0,77.0625,0.08,0.57,0
E0200,8.51,0,80.5,0.12,1.99,0
E0201,7.8,0,82.5625,0.05,1.4,0
E0202,7.92,0,81.0,-0.04,-1.09,0
E0203,5.17,2,49.3125,-0.16,-0.34,0
E0204,7.23,1,74.25,0.08,1.07,-1
E0205,6.88,1,72.3125,0.02,0.25,0
E0206,7.77,0,84.375,-0.05,-1.09,0
E0207,8.34,0,73.5,-0.03,-1.29,0
E0208,9.09,0,89.5625,0.1,0.56,0
E0209,8.96,0,88.375,0.0,-0.37,-1
E0210,8.01,0,75.5625,-0.03,-0.69,-1
E0211,7.88,0,76.9375,0.03,-0.11,0
E0212,9.26,0,85.125,0.1,1.3,0
E0213,8.6,0,77.9375,0.05,0.69,0
E0214,7.83,0,82.0625,-0.02,-0.81,-1
E0215,6.26,0,71.6875,0.04,0.94,0
E0216,7.68,0,77.5,-0.01,-0.94,0
E0217,5.32,1,53.8125,-0.12,-1.93,1
E0218,8.25,0,74.875,0.06,1.2,-1
E0219,6.86,0,62.375,0.03,0.96,0
E0220,7.64,0,77.8125,0.08,1.31,0
E0221,8.36,0,73.6875,0.05,-0.02,0
E0222,8.23,0,81.5,0.04,1.25,0
E0223,6.95,1,69.5,-0.08,-1.25,1
E0224,9.06,0,88.4375,0.06,0.85,0
E0225,7.24,0,72.0,-0.05,-1.33,-1
E0226,8.12,0,77.9375,-0.01,-0.62,-1
E0227,7.69,0,77.8125,0.1,0.73,-1
E0228,9.29,0,82.375,0.06,0.2,0
E0229,8.05,0,73.0,0.08,0.6,0
E0230,7.74,0,75.3125,0.04,1.5,0
E0231,8.33,0,78.3125,0.07,0.43,-1
E0232,7.69,0,73.125,0.03,-0.13,0
E0233,8.38,0,77.0625,0.04,0.39,0
E0234,8.15,0,81.8125,0.02,0.98,0
E0235,7.95,1,76.5,-0.06,-1.11,-1
E0236,9.19,0,85.375,0.11,1.02,0
E0237,8.76,0,88.3125,0.04,0.72,0
E0238,7.29,1,70.375,-0.1,-0.94,0
E0239,6.55,1,72.4375,0.03,0.69,0
E0240,7.84,0,76.0625,-0.02,-0.66,-1
E0241,7.98,0,79.4375,0.09,0.81,0
E0242,9.29,0,81.25,0.14,1.97,0
E0243,8.0,0,80.625,0.09,2.12,0
E0244,7.93,0,78.0625,0.01,0.42,0
E0245,6.5,0,72.9375,-0.1,-0.38,-1
E0246,5.25,0,48.3125,0.03,0.69,0
E0247,8.81,0,86.375,0.06,0.26,0
E0248,6.24,1,77.5,0.09,0.66,0
E0249,9.25,0,82.875,0.14,2.44,0
E0250,8.08,0,73.0625,0.08,1.21,0
E0251,8.91,0,85.5,0.04,-0.44,-1
E0252,7.59,1,73.6875,-0.02,-0.2,0
E0253,5.63,1,50.125,0.01,-0.57,0
E0254,7.86,0,78.4375,-0.0,-0.35,0
E0255,7.08,1,72.1875,-0.07,-0.73,0
E0256,7.2,0,72.75,0.01,0.94,1
E0257,7.91,1,71.5,0.09,1.68,0
E0258,6.62,1,71.0625,0.04,0.88,-1
E0259,8.97,0,85.5625,0.09,1.76,0
E0260,9.11,0,89.5,0.01,0.37,0
E0261,8.28,0,79.5625,0.04,0.71,0
E0262,7.71,0,77.0625,0.1,1.15,0
E0263,7.5,0,80.6875,-0.03,-1.28,0
E0264,7.89,0,78.8125,0.03,-0.47,0
E0265,8.49,0,76.6875,0.08,0.45,0
E0266,7.71,0,74.0625,0.05,-0.15,0
E0267,8.76,0,90.5625,0.1,1.86,-1
E0268,6.68,0,75.0625,0.04,-0.44,0
E0269,8.23,0,80.75,0.0,0.75,0
E0270,6.54,0,51.1875,-0.13,-1.11,-1
E0271,9.18,0,88.0625,0.12,1.3,-1
E0272,7.49,0,78.8125,0.07,1.64,0
E0273,7.95,0,81.0,0.08,0.13,0
E0274,9.06,0,86.0625,0.14,0.27,0
E0275,8.86,0,84.6875,0.08,0.03,0
E0276,5.06,2,50.25,-0.07,-0.69,0
E0277,9.1,0,86.375,0.12,1.97,0
E0278,7.83,0,78.25,0.05,1.11,0
E0279,8.22,0,77.625,0.06,0.97,0
E0280,5.42,2,51.25,-0.0,0.28,2
E0281,8.95,0,91.625,0.13,2.3,0
E0282,6.0,1,54.0,-0.12,-1.24,1
E0283,8.54,0,75.625,0.01,-0.81,0
E0284,8.31,0,80.375,-0.04,-0.06,0
E0285,8.29,0,76.4375,0.04,1.5,0
E0286,9.1,0,88.875,0.01,-0.72,0
E0287,8.18,0,79.125,0.02,0.57,0
E0288,5.6,2,51.25,-0.06,-1.26,1
E0289,7.48,1,75.875,-0.04,0.47,0
E0290,8.43,0,78.8125,0.04,0.45,0
E0291,6.05,0,48.1875,-0.19,-1.31,0
E0292,7.77,0,79.8125,-0.04,-0.14,0
E0293,5.18,1,51.0625,0.01,-0.81,1
E0294,8.61,0,82.6875,0.0,-0.06,0
E0295,8.06,0,79.125,-0.03,-0.15,0
E0296,5.57,3,52.5,-0.07,-0.43,1
E0297,9.13,0,90.125,0.12,1.9,0
E0298,7.85,0,82.1875,-0.02,-0.25,0
E0299,6.56,0,75.875,0.02,0.57,0
E0300,7.28,0,78.375,-0.04,-0.07,0
E0301,9.03,0,88.5,0.01,-0.27,0
E0302,7.74,0,78.375,0.03,0.56,0
E0303,7.02,0,70.875,0.01,0.27,0
E0304,8.89,0,86.375,0.1,2.18,0
E0305,6.07,1,54.6875,-0.02,-0.23,1
E0306,7.93,1,69.0625,0.1,1.15,-1
E0307,5.31,3,51.25,-0.07,-1.18,0
E0308,8.99,0,85.375,0.05,1.21,0
E0309,8.44,0,76.8125,0.07,0.47,0
E0310,8.06,0,76.4375,-0.01,-0.73,-1
E0311,8.97,0,84.125,0.07,1.4,0
E0312,7.56,0,82.0,-0.04,-0.03,0
E0313,8.11,0,75.6875,-0.05,0.29,-1
E0314,7.98,0,80.875,0.09,0.66,-1
E0315,7.54,0,78.0625,0.08,0.11,-1
E0316,6.81,0,68.75,0.04,0.69,1
E0317,9.4,0,86.75,0.06,-0.09,-1
E0318,8.27,0,74.5,-0.02,-1.06,0
E0319,8.91,0,78.1875,-0.03,0.32,0
E0320,5.62,2,45.5,-0.14,-1.65,0
E0321,7.95,0,73.75,0.03,0.99,0
E0322,7.7,0,77.75,0.06,0.3,0
E0323,7.56,0,78.625,0.05,0.15,-1
E0324,8.15,0,81.375,-0.01,0.39,0
E0325,8.69,0,85.6875,0.14,1.87,0
E0326,8.5,0,85.4375,0.11,1.79,0
E0327,8.1,0,74.375,0.03,-0.02,0
E0328,8.71,0,86.4375,0.09,0.02,-1
E0329,8.15,0,81.25,0.01,0.84,0
E0330,5.11,0,48.8125,-0.14,-1.19,0
E0331,7.59,0,76.375,0.0,-0.79,-1
E0332,5.47,1,55.5,-0.01,0.06,2
E0333,5.85,2,49.5625,-0.2,-1.14,0
E0334,7.72,0,78.0625,-0.03,0.29,0
E0335,7.45,1,71.6875,-0.09,-0.22,0
E0336,7.99,0,74.875,-0.04,-0.98,0
E0337,7.76,0,76.375,0.08,0.61,-1
E0338,8.0,0,86.875,0.06,-0.05,0
E0339,4.5,1,53.4375,-0.08,-1.33,0
E0340,5.05,2,48.875,-0.18,-2.27,-1
E0341,9.06,0,84.9375,0.07,0.64,0
E0342,8.0,0,79.625,0.02,-0.29,0
E0343,7.46,0,75.0,-0.02,0.35,0
E0344,7.85,0,77.9375,0.02,1.05,-1
E0345,7.27,1,70.875,-0.02,0.12,0
E0346,8.24,0,73.375,0.04,-0.32,0
E0347,7.55,0,71.8125,0.03,0.57,0
E0348,7.72,0,76.8125,-0.04,-0.91,0
E0349,8.46,0,85.125,0.06,0.46,0
E0350,9.02,0,89.6875,0.09,0.92,0
E0351,7.51,0,80.25,0.03,0.0,-1
E0352,9.02,0,85.4375,0.13,1.03,0
E0353,8.38,0,80.625,0.05,0.25,0
E0354,7.64,0,70.375,-0.07,-1.79,1
E0355,8.04,0,75.875,-0.04,0.32,0
E0356,8.16,0,78.4375,0.05,1.37,0
E0357,7.68,0,82.0,-0.05,0.35,0
E0358,8.96,0,86.75,0.09,0.74,0
E0359,6.45,0,78.5,0.09,0.41,0
E0360,9.15,0,82.1875,0.09,0.03,0
E0361,9.2,0,86.375,0.06,0.34,0
E0362,6.97,0,73.0625,0.03,-0.31,-1
E0363,8.25,0,78.875,0.02,0.46,-1
E0364,7.95,0,77.9375,0.03,-0.54,-1
E0365,8.88,0,87.1875,0.14,2.07,0
E0366,8.92,0,86.875,0.06,0.53,-1
E0367,7.97,0,70.8125,0.09,1.19,0
E0368,8.67,0,80.375,0.09,1.5,0
E0369,9.01,0,89.25,0.03,-0.1,-1
E0370,8.46,0,80.8125,-0.04,-0.4,0
E0371,7.56,0,75.25,-0.03,-0.29,-1
E0372,5.56,2,49.3125,-0.2,-0.94,0
E0373,8.39,0,76.375,-0.04,0.03,0
E0374,8.95,0,87.4375,0.1,2.22,0
E0375,5.95,1,49.3125,-0.18,-1.5,-1
E0376,7.96,0,79.875,-0.0,0.6,0
E0377,5.3,1,53.0625,0.01,0.62,1
E0378,8.75,0,89.0625,0.0,-0.23,0
E0379,8.76,0,86.5625,0.12,1.33,0
E0380,7.9,0,80.9375,-0.01,-0.49,0
E0381,8.4,0,77.75,-0.03,0.48,0
E0382,8.79,0,86.3125,0.1,0.81,0
E0383,7.03,0,71.4375,0.03,0.9,-1
E0384,8.86,0,85.75,0.13,0.36,0
E0385,9.07,0,83.875,0.11,1.87,0
E0386,4.56,2,50.625,0.0,0.44,1
E0387,7.98,0,79.6875,-0.01,0.34,0
E0388,6.67,1,69.4375,-0.06,-0.71,0
E0389,8.17,0,80.1875,0.06,0.02,0
E0390,5.61,1,52.875,0.0,-0.53,1
E0391,6.76,0,69.75,0.1,1.05,-1
E0392,8.07,0,75.375,0.01,-0.67,0
E0393,7.05,1,69.75,-0.03,0.59,0
E0394,7.58,0,76.5,0.07,1.31,0
E0395,7.93,0,74.75,0.0,-0.58,0
E0396,8.53,0,73.3125,0.09,1.18,0
E0397,8.87,0,85.625,0.13,2.75,0
E0398,7.59,0,78.3125,0.01,0.7,0
E0399,6.73,0,76.0,0.05,1.38,0
E0400,8.07,0,75.1875,0.06,0.21,0
E0401,8.9,0,81.8125,0.02,-0.6,0
E0402,8.94,0,84.9375,0.14,1.97,-1
E0403,7.95,0,75.75,0.03,-0.51,0
E0404,7.77,0,80.375,0.07,1.67,-1
E0405,8.95,0,84.6875,0.05,0.44,0
E0406,9.0,0,87.5625,0.13,2.11,0
E0407,7.49,0,73.8125,0.01,-0.3,0
E0408,8.29,0,77.5,-0.05,-1.29,0
E0409,5.9,3,57.3125,0.03,0.34,0
E0410,8.38,0,76.375,-0.04,-0.59,0
E0411,7.92,0,80.9375,-0.0,-0.11,0
E0412,5.55,3,53.6875,0.04,0.82,0
E0413,8.29,0,79.0,0.09,0.51,0
E0414,6.82,1,71.3125,0.01,-0.74,0
E0415,5.8,1,62.875,0.03,0.38,0
E0416,8.12,0,71.375,0.02,0.25,0
E0417,7.84,0,76.9375,-0.01,-0.27,-1
E0418,8.85,0,85.4375,0.05,0.86,0
E0419,7.95,0,80.625,0.05,0.53,0
E0420,8.48,0,80.25,0.06,0.98,0
E0421,6.9,0,72.25,0.06,-0.07,0
E0422,7.93,0,72.6875,0.07,-0.39,0
E0423,4.79,3,48.625,-0.18,-2.3,0
E0424,9.02,0,84.5625,0.07,1.11,0
E0425,8.27,0,77.1875,-0.04,-0.38,0
E0426,8.03,0,81.1875,0.03,1.18,0
E0427,8.62,0,86.8125,0.07,1.7,0
E0428,8.66,0,78.0,0.08,1.37,-1
E0429,7.26,0,71.3125,-0.03,-1.24,1
E0430,7.15,0,73.9375,-0.03,-0.06,0
E0431,7.72,0,79.6875,-0.03,-0.29,0
E0432,7.86,0,79.0,0.06,0.3,0
E0433,8.16,0,74.125,0.04,0.4,0
E0434,8.17,0,79.6875,-0.03,-0.92,0
E0435,8.02,0,74.5,-0.04,-0.37,0
E0436,7.63,0,78.5625,0.06,0.02,-1
E0437,7.75,0,78.1875,-0.04,0.17,0
E0438,7.61,1,76.375,0.06,0.15,-1
E0439,7.53,0,79.625,0.06,1.18,0
E0440,8.78,0,76.0625,-0.04,-0.46,-1
E0441,7.07,0,66.125,-0.08,-0.47,1
E0442,8.85,0,87.625,0.15,2.52,-1
E0443,7.38,0,76.375,-0.03,-0.36,0
E0444,8.23,0,78.0625,0.01,0.95,0
E0445,4.99,2,46.5,0.0,-0.1,0
E0446,9.28,0,86.0625,0.14,1.98,0
E0447,7.83,0,76.6875,0.1,0.5,0
E0448,8.14,0,76.375,0.06,0.15,0
E0449,5.57,1,46.8125,-0.11,-1.44,0
E0450,5.61,2,53.0625,-0.18,-1.78,0
E0451,8.84,0,87.1875,0.12,1.55,0
E0452,5.3,1,52.75,-0.06,-0.6,0
E0453,5.92,2,46.5,-0.09,-0.27,2
E0454,8.43,0,77.75,0.09,1.53,0
E0455,7.96,0,82.6875,-0.03,-0.95,-1
E0456,7.84,0,77.75,0.02,1.06,0
E0457,7.24,0,77.5625,-0.1,-1.44,1
E0458,5.17,1,54.8125,-0.08,-1.47,-1
E0459,7.62,0,75.9375,-0.04,-0.26,0
E0460,8.38,0,74.625,-0.03,-0.12,0
E0461,5.11,0,49.375,-0.17,-0.06,0
E0462,6.86,0,74.4375,0.03,0.56,1
E0463,8.73,0,83.5,0.11,1.46,0
E0464,7.77,0,75.4375,0.04,0.88,0
E0465,8.27,0,77.625,0.09,1.87,0
E0466,8.21,0,80.4375,0.01,-0.26,0
E0467,8.42,0,88.6875,0.04,1.35,0
E0468,9.04,0,84.8125,0.13,1.82,0
E0469,6.79,1,77.6875,-0.06,-1.33,0
E0470,8.42,0,78.625,0.14,0.86,0
E0471,7.92,0,79.0625,-0.05,-1.06,-1
E0472,7.63,0,80.5,0.1,1.52,0
E0473,7.79,0,76.5,-0.04,-0.91,0
E0474,8.31,0,77.9375,0.08,-0.18,-1
E0475,6.81,0,71.9375,0.01,0.78,0
E0476,8.27,0,74.75,0.1,0.18,-1
E0477,9.17,0,88.6875,0.01,0.37,0
E0478,8.9,0,88.125,0.08,0.87,0
E0479,7.58,0,74.75,0.1,0.72,0
E0480,7.95,0,76.3125,0.03,1.02,-1
E0481,9.15,0,79.6875,0.09,1.84,0
E0482,9.02,0,85.3125,0.1,1.6,0
E0483,9.32,0,84.5625,0.07,1.57,0
E0484,8.25,0,82.4375,0.04,-0.25,0
E0485,7.99,0,77.625,0.04,1.23,0
E0486,8.25,0,79.5625,0.09,0.61,0
E0487,7.98,0,80.625,-0.04,0.16,0
E0488,8.08,0,77.625,-0.01,0.81,-1
E0489,9.32,0,84.0625,0.14,0.4,0
E0490,8.34,0,78.5625,0.08,1.07,0
E0491,7.99,0,71.875,0.02,-0.72,0
E0492,8.1,0,72.375,0.04,-0.32,-1
E0493,8.24,0,79.3125,-0.01,-1.06,0
E0494,7.81,0,77.625,-0.02,0.63,0
E0495,8.84,0,88.875,0.07,1.52,0
E0496,8.24,0,83.625,0.0,0.08,0
E0497,5.65,1,51.875,-0.05,-0.39,0
E0498,5.94,0,47.75,-0.18,-0.64,-1
E0499,8.25,0,71.375,0.1,1.66,-1
E0500,9.09,0,84.875,0.15,0.97,0
E0501,5.73,0,47.8125,-0.03,-0.91,2
E0502,7.87,0,80.75,0.03,0.65,0
E0503,5.3,2,52.1875,-0.12,0.2,0
E0504,6.92,0,71.8125,0.06,-0.17,1
E0505,8.99,0,80.4375,0.1,0.73,0
E0506,8.49,0,75.5625,-0.03,0.23,0
E0507,6.08,1,50.8125,0.03,0.32,1
E0508,7.0,1,74.25,0.06,1.16,0
E0509,6.87,0,72.4375,0.09,0.86,0
E0510,8.25,0,75.875,0.06,-0.13,-1
E0511,5.53,1,47.25,-0.05,0.33,0
E0512,6.48,0,79.0,-0.02,-1.08,0
E0513,7.25,0,68.875,0.09,0.26,1
E0514,7.61,0,76.3125,0.08,0.38,0
E0515,8.74,0,85.6875,0.01,-0.67,0
E0516,9.28,0,89.0625,0.0,-0.29,-1
E0517,5.34,1,55.0625,-0.11,-1.57,-1
E0518,9.11,0,84.1875,0.12,0.95,0
E0519,8.99,0,87.625,0.15,2.68,0
E0520,8.05,0,80.25,-0.03,0.48,0
E0521,5.56,2,52.125,-0.05,-1.16,-1
E0522,7.17,1,70.9375,-0.02,-0.89,1
E0523,8.15,0,76.3125,0.1,1.79,0
E0524,8.88,0,87.5,0.13,1.09,0
E0525,8.01,0,81.3125,0.08,1.96,0
E0526,8.06,0,79.0,0.02,1.13,-1
E0527,6.27,0,73.875,-0.02,-0.44,0
E0528,5.69,2,49.5,-0.13,-1.28,1
E0529,6.04,1,53.375,-0.19,-1.49,0
E0530,7.81,0,80.1875,0.08,1.77,0
E0531,6.42,0,72.0625,0.06,0.3,-1
E0532,8.41,0,79.625,0.1,1.26,0
E0533,6.88,0,70.8125,0.1,1.52,1
E0534,8.09,0,76.3125,0.03,0.0,-1
E0535,6.33,1,69.25,0.05,-0.11,0
E0536,8.23,0,76.5625,0.09,0.93,0
E0537,8.84,0,87.1875,0.13,1.06,0
E0538,6.67,0,73.125,-0.05,-1.42,0
E0539,7.84,0,79.5625,0.02,0.29,0
E0540,8.04,0,75.5,-0.03,-0.64,0
E0541,6.74,0,75.625,0.09,1.91,0
E0542,8.12,0,78.5625,0.04,-0.07,0
E0543,6.88,0,76.5625,-0.05,-0.55,-1
E0544,7.62,0,79.0625,0.05,0.07,0
E0545,7.32,0,75.9375,0.04,-0.44,0
